count(common name),Eastern White Pine,Common Milkweed,Northern Whitecedar,American Pokeweed,Wild Carrot,Ghost Pipes,Sugar Maple,Jack in the Pulpit,Northern Red Oak,Great Mullein,Paper Birch,Common Jewelweed,Large White Trillium,Red Maple,Poison Ivy,Red Pine,Mayapple,Chicory,Garlic Mustard,American Beech,Boxelder Maple,Staghorn Sumac,Purple Loosestrife,Sensitive Fern,Eastern Skunk Cabbage
28,8,0,8,0,1,0,1,0,0,0,3,0,0,0,0,2,0,0,0,1,0,2,0,0,2
16,2,0,3,1,0,0,1,0,0,0,3,0,0,0,0,3,0,0,1,0,1,0,0,0,1
36,6,0,6,0,1,1,2,0,2,1,2,0,0,0,0,3,0,1,0,4,3,3,0,0,1
16,2,0,2,0,0,1,2,0,1,0,1,0,0,2,0,2,0,0,0,1,0,1,0,1,0
26,5,2,0,0,0,0,0,0,2,3,4,0,0,0,0,1,0,0,0,3,1,4,0,0,1
50,13,0,6,0,1,0,1,0,1,1,10,0,0,1,0,5,0,0,1,3,0,4,3,0,0
46,13,1,8,0,0,0,2,0,0,1,10,0,0,1,0,1,0,1,0,4,0,3,0,1,0
57,8,4,11,0,1,1,2,0,6,4,5,0,0,0,0,4,0,0,0,3,1,3,1,1,2
27,3,0,4,2,1,0,1,0,1,1,2,0,0,0,1,3,0,0,2,4,0,0,1,0,1
42,6,1,3,1,3,2,2,0,0,2,2,0,0,1,1,6,0,1,1,2,2,1,1,0,4
66,4,0,4,1,1,1,4,1,2,2,6,0,0,1,0,11,0,0,4,5,0,0,0,1,18
121,9,1,10,1,1,0,3,0,3,5,8,0,0,6,0,3,0,0,7,26,4,3,1,1,29
105,12,0,7,0,2,1,2,0,3,4,6,0,0,6,0,3,0,1,9,6,1,5,0,3,34
117,10,0,5,0,2,0,6,0,2,13,8,0,0,11,1,2,1,0,12,6,2,5,0,3,28
138,7,1,6,0,3,1,3,0,2,12,2,0,4,5,0,3,12,0,25,6,6,1,0,2,37
96,5,0,7,0,2,0,0,0,0,4,0,0,7,4,0,3,14,0,18,3,2,5,0,0,22
279,21,1,7,0,4,2,4,1,4,20,6,0,26,5,3,3,56,0,44,12,9,4,0,3,44
398,23,0,7,1,5,0,4,24,4,16,7,1,79,9,2,3,79,2,61,4,15,3,1,2,46
423,12,0,9,0,0,3,3,59,3,10,8,0,96,7,3,6,62,1,68,1,24,5,0,9,34
486,12,0,15,1,2,3,13,62,4,10,2,0,101,9,11,6,79,0,78,9,21,2,0,7,39
446,24,0,11,5,11,0,13,54,5,8,9,8,99,6,23,3,50,2,51,11,26,3,1,10,13
390,17,16,12,9,6,0,14,52,4,9,6,7,40,13,42,4,44,2,18,12,22,6,1,21,13
287,13,18,30,11,7,0,8,26,5,10,5,2,10,4,34,6,10,0,14,5,23,12,1,25,8
198,7,23,8,19,4,1,3,21,3,7,3,2,6,5,18,4,12,2,4,7,16,3,1,17,2
193,12,30,14,10,2,1,7,8,7,9,5,2,3,10,17,6,4,4,2,6,5,8,1,17,3
299,10,81,17,12,11,1,10,16,11,21,10,4,2,4,18,5,5,14,5,5,10,7,0,18,2
287,7,67,13,15,22,1,7,9,5,31,3,3,1,6,17,4,5,19,1,5,13,12,10,10,1
344,9,50,10,23,30,8,6,5,8,27,5,6,2,8,14,6,7,27,5,9,12,26,13,23,5
482,15,51,22,26,52,29,21,8,16,35,13,20,4,5,11,6,5,38,2,13,10,33,26,18,3
468,11,44,13,19,72,52,11,11,9,36,8,20,1,6,15,6,6,36,1,8,5,18,36,22,2
482,12,34,14,46,61,35,15,14,6,23,4,20,1,6,23,3,8,40,2,8,13,24,45,21,4
444,9,23,10,30,44,52,10,5,6,18,5,43,1,15,30,7,5,33,1,8,8,24,41,15,1
526,16,22,19,23,35,162,12,10,8,11,9,47,0,7,13,7,1,25,2,8,15,14,44,16,0
549,14,31,26,41,31,112,11,11,12,16,9,60,0,12,18,5,0,28,0,14,12,24,42,19,1
1266,124,26,96,37,24,20,111,21,152,14,126,56,2,120,20,158,3,22,1,7,47,11,41,25,2
555,38,30,25,52,26,27,24,38,19,15,18,67,1,19,16,12,0,19,3,14,15,23,30,20,4
522,32,44,18,55,35,18,20,40,10,13,8,54,0,10,19,11,1,29,4,25,14,21,30,9,2
490,20,40,17,49,28,9,16,27,14,18,11,48,0,21,26,16,1,42,0,10,18,23,10,21,5
716,47,54,57,50,23,6,58,20,54,26,43,16,0,44,28,37,1,25,1,31,24,22,18,28,3
293,23,22,7,22,19,8,18,4,15,14,10,3,0,21,12,9,0,27,0,12,6,19,13,8,1
265,17,21,21,23,9,8,15,5,12,10,20,0,0,14,12,12,0,9,3,20,10,13,2,8,1
253,15,17,20,25,6,4,30,2,15,6,7,2,0,14,6,11,0,9,0,24,9,18,7,6,0
144,14,5,12,5,4,12,18,1,11,5,15,0,0,8,2,4,0,5,0,10,5,4,2,2,0
245,44,8,9,6,5,4,20,2,43,9,15,2,0,22,2,14,0,2,0,25,5,5,2,1,0
149,26,5,23,3,2,2,17,0,15,5,14,0,0,6,0,5,0,0,2,14,3,2,0,4,1
69,10,4,5,1,3,2,3,0,7,2,3,0,0,1,2,12,0,0,0,11,1,2,0,0,0
37,7,3,6,1,0,0,1,1,4,2,5,0,0,1,1,2,0,0,0,1,0,1,0,0,1
74,7,2,6,0,2,2,3,0,10,9,8,0,0,1,3,4,0,0,2,13,0,1,0,1,0
61,10,7,7,3,1,0,6,0,1,4,4,1,0,0,1,4,0,0,2,6,1,3,0,0,0
44,2,0,5,0,2,3,4,0,3,0,2,0,0,2,3,7,0,0,1,4,0,2,1,2,1
79,14,2,10,0,0,1,5,0,6,2,4,0,0,6,3,5,0,0,0,4,10,7,0,0,0
43,6,1,2,2,1,0,3,0,0,3,4,0,0,0,1,4,0,0,0,2,3,1,4,4,2
26,4,2,4,0,0,0,0,0,2,3,1,0,0,0,2,2,0,0,0,1,1,2,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
